field	occupation	count	expected	diff
ADVERTISING AND PUBLIC RELATIONS	MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS	520	999.122666295519	0.520456614129296
ADVERTISING AND PUBLIC RELATIONS	MGR-CONSTRUCTION MANAGERS	305	517.170054962499	0.589747989222068
ADVERTISING AND PUBLIC RELATIONS	MGR-EDUCATION ADMINISTRATORS	962	1366.81241961005	0.703827376893795
ADVERTISING AND PUBLIC RELATIONS	MGR-FINANCIAL MANAGERS	1201	1331.7371207506	0.901829633856784
ADVERTISING AND PUBLIC RELATIONS	MGR-FOOD SERVICE MANAGERS	480	429.84147715623	1.11669074649476
ADVERTISING AND PUBLIC RELATIONS	MGR-GENERAL AND OPERATIONS MANAGERS	1701	1205.53410204951	1.41099285130811
ADVERTISING AND PUBLIC RELATIONS	MGR-HUMAN RESOURCES MANAGERS	654	441.088143657767	1.48269684733904
ADVERTISING AND PUBLIC RELATIONS	MGR-MARKETING AND SALES MANAGERS	5492	1340.43379622613	4.09718108828816
ADVERTISING AND PUBLIC RELATIONS	MGR-MEDICAL AND HEALTH SERVICES MANAGERS	149	752.423956780946	0.19802665592608
ADVERTISING AND PUBLIC RELATIONS	MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE	3720	4093.82537331507	0.908685559537594
ADVERTISING AND PUBLIC RELATIONS	MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION	635	395.515668902399	1.60549897242301
ADVERTISING AND PUBLIC RELATIONS	MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS	783	461.100404311211	1.69811171857383
ADVERTISING AND PUBLIC RELATIONS	OFF-CUSTOMER SERVICE REPRESENTATIVES	2955	923.411192876322	3.20009116501556
ADVERTISING AND PUBLIC RELATIONS	OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE	896	892.100576714057	1.00437105791402
ADVERTISING AND PUBLIC RELATIONS	OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS	1980	1004.62754557126	1.97087966453688
ADVERTISING AND PUBLIC RELATIONS	PRT-POLICE OFFICERS	150	633.478936185981	0.236787667958011
ADVERTISING AND PUBLIC RELATIONS	SAL-FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS	748	996.645901363162	0.75051730908332
ADVERTISING AND PUBLIC RELATIONS	SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS	1843	1474.15756548703	1.25020557038698
ADVERTISING AND PUBLIC RELATIONS	SAL-INSURANCE SALES AGENTS	962	519.233307836584	1.85273168242659
ADVERTISING AND PUBLIC RELATIONS	SAL-REAL ESTATE BROKERS AND SALES AGENTS	1160	547.007534417171	2.12062892558868
ADVERTISING AND PUBLIC RELATIONS	SAL-RETAIL SALESPERSONS	2619	1006.19975287615	2.6028628932911
ADVERTISING AND PUBLIC RELATIONS	SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER	1896	665.504583615675	2.84896610283143
ADVERTISING AND PUBLIC RELATIONS	SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING	3937	1490.05193522686	2.64218978340551
ADVERTISING AND PUBLIC RELATIONS	SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES	453	456.7025312748	0.99189290397742
COMPUTER AND INFORMATION SYSTEMS	BUS-HUMAN RESOURCES WORKERS	979	1503.45267659841	0.651167818740399
COMPUTER AND INFORMATION SYSTEMS	BUS-MANAGEMENT ANALYSTS	4091	2135.2708208872	1.91591622007938
COMPUTER AND INFORMATION SYSTEMS	BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS	503	840.036083699321	0.598783801982537
COMPUTER AND INFORMATION SYSTEMS	CMM-COMPUTER OCCUPATIONS, ALL OTHER	8695	788.017210993758	11.034022961294
COMPUTER AND INFORMATION SYSTEMS	CMM-COMPUTER PROGRAMMERS	9618	1526.7136931304	6.29980594480623
COMPUTER AND INFORMATION SYSTEMS	CMM-COMPUTER SUPPORT SPECIALISTS	10335	1009.33204119661	10.2394450767136
COMPUTER AND INFORMATION SYSTEMS	CMM-COMPUTER SYSTEMS ANALYSTS	9928	1629.38560795986	6.09309420158115
COMPUTER AND INFORMATION SYSTEMS	CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE	20657	4110.4210492276	5.02551922360404
COMPUTER AND INFORMATION SYSTEMS	CMS-CLERGY	66	1303.65596255339	0.0506268539367777
COMPUTER AND INFORMATION SYSTEMS	CMS-COUNSELORS	596	1859.17193950056	0.320572824566246
COMPUTER AND INFORMATION SYSTEMS	CMS-SOCIAL WORKERS	395	2492.57377691779	0.158470735613868
COMPUTER AND INFORMATION SYSTEMS	EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS	1105	11500.0002211553	0.0960869546739009
COMPUTER AND INFORMATION SYSTEMS	EDU-OTHER TEACHERS AND INSTRUCTORS	794	1048.42160968428	0.757328914881011
COMPUTER AND INFORMATION SYSTEMS	EDU-POSTSECONDARY TEACHERS	820	3872.12131970545	0.211770224199064
COMPUTER AND INFORMATION SYSTEMS	EDU-SECONDARY SCHOOL TEACHERS	268	2806.63101741465	0.0954881487224744
COMPUTER AND INFORMATION SYSTEMS	EDU-SPECIAL EDUCATION TEACHERS	55	770.17762014483	0.0714120984061539
COMPUTER AND INFORMATION SYSTEMS	ENG-CIVIL ENGINEERS	207	1199.95339029114	0.172506700405901
COMPUTER AND INFORMATION SYSTEMS	ENG-ELECTRICAL AND ELECTRONICS ENGINEERS	481	921.592090149585	0.521922882304608
COMPUTER AND INFORMATION SYSTEMS	ENG-MECHANICAL ENGINEERS	322	792.692876420579	0.406210285948321
COMPUTER AND INFORMATION SYSTEMS	ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS	1321	1824.92562301415	0.723865117208538
COMPUTER AND INFORMATION SYSTEMS	ENT-DESIGNERS	586	1494.85548532974	0.392011138033681
COMPUTER AND INFORMATION SYSTEMS	FIN-ACCOUNTANTS AND AUDITORS	1925	3384.59521600779	0.568753389148432
COMPUTER AND INFORMATION SYSTEMS	FIN-CREDIT COUNSELORS AND LOAN OFFICERS	352	706.193066024392	0.498447261712198
COMPUTER AND INFORMATION SYSTEMS	FIN-PERSONAL FINANCIAL ADVISORS	355	1112.5905090366	0.319075164776838
COMPUTER AND INFORMATION SYSTEMS	LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL	774	4276.90993160305	0.18097177924668
COMPUTER AND INFORMATION SYSTEMS	MED-PHYSICIANS AND SURGEONS	202	3313.14467999614	0.0609692662139449
COMPUTER AND INFORMATION SYSTEMS	MED-REGISTERED NURSES	239	5224.51145810542	0.0457459040747648
COMPUTER AND INFORMATION SYSTEMS	MGR-ARCHITECTURAL AND ENGINEERING MANAGERS	288	684.331397388952	0.420848730744865
COMPUTER AND INFORMATION SYSTEMS	MGR-CHIEF EXECUTIVES AND LEGISLATORS	1622	2705.29141585198	0.599565721643035
COMPUTER AND INFORMATION SYSTEMS	MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS	13267	1943.61881435988	6.82592692660748
COMPUTER AND INFORMATION SYSTEMS	MGR-CONSTRUCTION MANAGERS	168	1006.06410299507	0.166987371381069
COMPUTER AND INFORMATION SYSTEMS	MGR-EDUCATION ADMINISTRATORS	1195	2658.89507271881	0.449434809316515
COMPUTER AND INFORMATION SYSTEMS	MGR-FINANCIAL MANAGERS	1319	2590.66219893637	0.509136235724415
COMPUTER AND INFORMATION SYSTEMS	MGR-FOOD SERVICE MANAGERS	416	836.181592487246	0.497499590684119
COMPUTER AND INFORMATION SYSTEMS	MGR-GENERAL AND OPERATIONS MANAGERS	1757	2345.15624671339	0.749203812096675
COMPUTER AND INFORMATION SYSTEMS	MGR-HUMAN RESOURCES MANAGERS	701	858.06001978013	0.816959168170572
COMPUTER AND INFORMATION SYSTEMS	MGR-MARKETING AND SALES MANAGERS	720	2607.58006362589	0.27611807976428
COMPUTER AND INFORMATION SYSTEMS	MGR-MEDICAL AND HEALTH SERVICES MANAGERS	905	1463.70952047043	0.618292077316773
COMPUTER AND INFORMATION SYSTEMS	MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE	8650	7963.82294856832	1.08616176626014
COMPUTER AND INFORMATION SYSTEMS	MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION	469	769.406721902415	0.609560570045921
COMPUTER AND INFORMATION SYSTEMS	MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS	109	896.990381022083	0.12151746808678
COMPUTER AND INFORMATION SYSTEMS	OFF-CUSTOMER SERVICE REPRESENTATIVES	1633	1796.33535341502	0.90907301740485
COMPUTER AND INFORMATION SYSTEMS	OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE	1560	1735.42601293552	0.898914726627393
COMPUTER AND INFORMATION SYSTEMS	OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS	1112	1954.32759646647	0.568993653884107
COMPUTER AND INFORMATION SYSTEMS	PRT-POLICE OFFICERS	552	1232.32273714385	0.447934606221231
COMPUTER AND INFORMATION SYSTEMS	SAL-FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS	1435	1938.80070034479	0.740148278131325
COMPUTER AND INFORMATION SYSTEMS	SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS	2017	2867.71632379731	0.703347113960411
COMPUTER AND INFORMATION SYSTEMS	SAL-INSURANCE SALES AGENTS	336	1010.07780145286	0.332647643099085
COMPUTER AND INFORMATION SYSTEMS	SAL-REAL ESTATE BROKERS AND SALES AGENTS	343	1064.10771305168	0.322335789688371
COMPUTER AND INFORMATION SYSTEMS	SAL-RETAIL SALESPERSONS	1011	1957.38605144996	0.516505162203995
COMPUTER AND INFORMATION SYSTEMS	SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER	861	1294.62304619118	0.665058452754325
COMPUTER AND INFORMATION SYSTEMS	SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING	682	2898.63604678113	0.235283074174609
COMPUTER AND INFORMATION SYSTEMS	SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES	143	888.435086397022	0.160957173112022
COMPUTER SCIENCE	BUS-HUMAN RESOURCES WORKERS	1328	4925.81358907929	0.269600133253971
COMPUTER SCIENCE	BUS-MANAGEMENT ANALYSTS	10858	6995.86105343053	1.55206055653087
COMPUTER SCIENCE	BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS	1533	2752.23904337652	0.557001036552144
COMPUTER SCIENCE	CMM-COMPUTER OCCUPATIONS, ALL OTHER	16803	2581.80782591952	6.5082303304335
COMPUTER SCIENCE	CMM-COMPUTER PROGRAMMERS	59453	5002.02445564833	11.8857875500519
COMPUTER SCIENCE	CMM-COMPUTER SUPPORT SPECIALISTS	17594	3306.90919761317	5.32037590046283
COMPUTER SCIENCE	CMM-COMPUTER SYSTEMS ANALYSTS	25564	5338.4119729648	4.78868999422735
COMPUTER SCIENCE	CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE	144001	13467.1135156262	10.6927887578071
COMPUTER SCIENCE	CMS-CLERGY	521	4271.21275965844	0.121979407095062
COMPUTER SCIENCE	CMS-COUNSELORS	616	6091.26881515604	0.101128355797941
COMPUTER SCIENCE	CMS-SOCIAL WORKERS	694	8166.50498764184	0.0849812742476998
COMPUTER SCIENCE	EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS	3201	37677.8452993588	0.0849570875024129
COMPUTER SCIENCE	EDU-OTHER TEACHERS AND INSTRUCTORS	937	3434.97969204566	0.272781816489279
COMPUTER SCIENCE	EDU-POSTSECONDARY TEACHERS	7405	12686.3639355264	0.583697585662295
COMPUTER SCIENCE	EDU-SECONDARY SCHOOL TEACHERS	1074	9195.46150025271	0.116796748044727
COMPUTER SCIENCE	EDU-SPECIAL EDUCATION TEACHERS	140	2523.35936232964	0.0554815941359805
COMPUTER SCIENCE	ENG-CIVIL ENGINEERS	1596	3931.44846403219	0.405957248225786
COMPUTER SCIENCE	ENG-ELECTRICAL AND ELECTRONICS ENGINEERS	3220	3019.44378556546	1.06642157585225
COMPUTER SCIENCE	ENG-MECHANICAL ENGINEERS	587	2597.12686898347	0.226018993145974
COMPUTER SCIENCE	ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS	6183	5979.06643343137	1.03410792785783
COMPUTER SCIENCE	ENT-DESIGNERS	1819	4897.6463163488	0.371402890798384
COMPUTER SCIENCE	FIN-ACCOUNTANTS AND AUDITORS	5245	11089.0654345466	0.472988461557803
COMPUTER SCIENCE	FIN-CREDIT COUNSELORS AND LOAN OFFICERS	650	2313.72457230039	0.280932314840633
COMPUTER SCIENCE	FIN-PERSONAL FINANCIAL ADVISORS	761	3645.21845868318	0.208766637343022
COMPUTER SCIENCE	LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL	2273	14012.5867533281	0.162211306164449
COMPUTER SCIENCE	MED-PHARMACISTS	323	3057.24723054585	0.105650598608059
COMPUTER SCIENCE	MED-PHYSICAL THERAPISTS	124	2203.49884129365	0.0562741389631052
COMPUTER SCIENCE	MED-PHYSICIANS AND SURGEONS	1550	10854.969591883	0.142791740398706
COMPUTER SCIENCE	MED-REGISTERED NURSES	804	17117.246147622	0.0469701722500317
COMPUTER SCIENCE	MGR-ARCHITECTURAL AND ENGINEERING MANAGERS	2475	2242.09843725765	1.10387660009576
COMPUTER SCIENCE	MGR-CHIEF EXECUTIVES AND LEGISLATORS	7478	8863.43908660501	0.843690572804999
COMPUTER SCIENCE	MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS	34494	6367.94500870172	5.41681813408633
COMPUTER SCIENCE	MGR-CONSTRUCTION MANAGERS	1062	3296.20233955772	0.322188958867888
COMPUTER SCIENCE	MGR-EDUCATION ADMINISTRATORS	1887	8711.42915569982	0.216611989407657
COMPUTER SCIENCE	MGR-FINANCIAL MANAGERS	3729	8487.87545019848	0.439332554050708
COMPUTER SCIENCE	MGR-FOOD SERVICE MANAGERS	957	2739.61044156753	0.349319737390267
COMPUTER SCIENCE	MGR-GENERAL AND OPERATIONS MANAGERS	4790	7683.51587541231	0.623412520735237
COMPUTER SCIENCE	MGR-HUMAN RESOURCES MANAGERS	1875	2811.29148357465	0.666953252963964
COMPUTER SCIENCE	MGR-MARKETING AND SALES MANAGERS	2901	8543.30403074707	0.33956417675871
